gender,rpi1_sc-118,rpi1_sc-111,rpi1_sc2,rpi1_sc32,rpi1_sc67,rpi1_sc106,rpi1_sc120,rpi1_sc121
1,746.0322,424.4255,128.0000,42.2019,36.1248,806.8221,549.9272,501.3991
1,717.3318,427.6658,128.0000,41.3401,45.4533,834.3674,536.4969,529.9151
1,743.1319,422.1208,128.0000,44.3847,40.4969,791.6376,548.3101,500.6086
1,707.1251,419.8023,128.0000,33.4216,38.0789,841.4773,533.2110,523.1377
1,741.0492,422.9090,128.0000,42.4264,46.7547,809.1063,544.3253,500.0650
1,720.4138,421.1710,128.0000,43.0116,38.3275,840.0476,535.5969,529.8018
1,705.0028,413.0521,128.0000,30.3645,39.0512,838.5208,530.8719,525.0495
1,725.0062,418.1507,128.0000,48.0937,38.8330,835.8475,539.7230,521.4374
1,732.5359,425.5537,128.0000,46.0977,37.6431,808.7237,543.0037,511.7812
1,736.5989,422.2914,128.0000,42.7551,37.4833,803.4034,552.5016,515.6171
1,715.0300,406.9607,128.0000,34.8281,51.0882,850.0711,534.0384,535.4073
1,715.7053,416.0733,128.0000,44.2832,44.9110,853.3445,531.0603,533.1266
1,738.1924,422.9090,128.0000,34.2053,37.5367,798.0100,546.4449,503.9891
1,724.9366,417.4123,128.0000,35.0143,46.5725,810.6220,547.8476,502.1016
1,707.0255,420.7006,128.0000,49.0000,47.1699,843.5930,529.7065,531.7151
1,720.8502,420.8670,128.0000,48.7545,39.8246,827.1832,533.6085,529.8311
1,738.3015,425.2646,128.0000,44.1475,43.4166,801.6240,540.7449,500.4968
1,723.5316,411.4912,128.0000,41.4005,37.3363,796.4000,541.4767,501.9691
1,736.7150,421.1615,128.0000,41.6773,41.0488,792.3245,547.0658,501.4399
1,737.0814,420.9050,128.0000,45.4533,40.2616,806.5396,544.3473,511.8632
1,704.0007,413.1465,128.0000,39.5601,44.5533,838.5375,533.4763,528.2424
1,718.6167,409.6498,128.0000,38.0789,51.1566,811.0320,542.6389,501.6184
1,707.9781,409.3531,128.0000,32.8024,47.0956,856.2365,528.0076,535.3597
1,733.0682,414.0930,128.0000,41.0000,31.3209,800.0157,551.2349,500.9531
1,712.3096,412.8850,128.0000,36.3456,43.2666,858.0099,531.4255,531.1516
1,738.0109,420.3154,128.0000,43.9318,38.8973,795.6594,555.9892,502.9771
1,711.9614,407.2407,128.0000,35.4683,40.7185,828.9083,533.2363,518.0588
1,715.9399,406.4443,128.0000,26.9258,39.3573,830.0150,528.7873,510.7886
1,745.3221,414.7698,128.0000,49.0408,41.0488,811.4788,549.6216,506.9211
1,742.8230,419.7618,128.0000,51.4004,40.5216,800.5023,551.9828,501.5466
1,711.9115,404.3575,128.0000,34.5398,39.9625,836.3163,530.2499,528.4932
1,739.1868,422.2843,128.0000,47.3814,44.8219,810.5306,541.9152,516.8530
1,734.1370,413.3582,128.0000,45.2217,40.2244,821.2339,543.5338,515.7374
1,730.0000,409.9134,128.0000,27.7849,44.7772,810.4777,540.0009,503.5017
1,734.5345,414.4032,128.0000,44.6430,38.4708,827.3451,538.3540,524.7256
1,734.3630,419.3948,128.0000,48.5077,43.7379,803.2957,551.1415,505.6026
1,732.3059,407.7413,128.0000,44.7772,38.9102,814.8386,539.8907,513.0789
1,701.4022,410.7018,128.0000,44.2041,45.0111,841.3376,529.7593,528.6398
1,718.5889,407.6125,128.0000,41.1096,47.2017,849.3981,530.9058,530.7099
1,737.3093,410.5277,128.0000,44.1022,42.7551,800.5929,546.9205,498.4426
1,729.3566,410.3328,128.0000,30.2324,43.1856,847.4149,529.6574,532.6631
1,708.1786,406.8636,128.0000,50.5964,48.8774,846.0508,528.5925,537.6179
1,728.0391,407.0442,128.0000,39.0000,35.8469,811.0549,532.8649,517.2243
1,741.4830,406.6743,128.0000,38.3275,38.6005,813.0344,544.7798,495.6309
1,704.3074,416.8189,128.0000,29.7321,43.0116,827.6841,529.0605,501.8296
