gender,rpi1_sc-118,rpi1_sc-111,rpi1_sc2,rpi1_sc32,rpi1_sc67,rpi1_sc106,rpi1_sc120,rpi1_sc121
1,725.854,442.9865,128,44.9444,34.9857,844.8727,536.4066,525.8983
1,721.6682,444.0833,128,39.4081,47.5395,846.2913,534.5101,527.3604
1,736.7259,444.7674,128,47.4236,39.6232,802.0281,549.1311,513.0653
1,742.9704,445.5334,128,34.4819,39.8497,804.4899,552.7866,497.2907
1,723.1604,438.926,128,28.6356,42.2966,850.7156,538.7133,521.7279
1,721.4492,442.164,128,34.5398,42.72,830.9284,540.4452,512.7192
1,712.5791,445.3369,128,42.9535,43.0116,849.9423,541.4988,537.1349
1,709.8908,441.811,128,41.7732,45.5412,852.0475,534.928,530.5035
1,429.9268,656.745,128,48.8774,77.6209,312.1602,310.8585,257.9632
1,722.3808,430.7111,128,31.6228,38.8973,834.8203,543.8428,515.2718
1,734.983,449.2349,128,49.7393,35.9026,833.9598,541.0148,519.0617
1,712.0407,447.0045,128,45.7056,42.72,855.1783,532.4556,530.2952
1,714.2955,438.3206,128,27.6586,43.8292,829.0024,535.5978,515.4047
1,731.7513,437.3214,128,29.5296,44.2041,801.8884,546.0586,493.8522
1,718.1671,440.7199,128,32.0624,47.4236,842.1502,537.3202,529.7707
1,709.5139,440.9592,128,35.3553,47.4342,853.8256,529.0605,535.5231
1,739.4193,435.9908,128,36.1248,48.5077,819.9121,545.8068,505.0881
1,719.1105,441.6786,128,43.8292,36.6742,833.5767,538.9778,528.7343
1,724.3652,442.7641,128,40.3609,44.9444,836.9594,533.4754,528.6218
1,734.6053,443.4975,128,41.1947,43.8634,838.3752,545.7408,527.3708
1,714.3389,441.7432,128,37.8021,38.0132,856.1805,535.0934,541.0703
1,727.473,435.8738,128,38,36.4006,815.0981,546.7586,505.0802
1,722.1149,421.7404,128,32.3883,38.2884,822.1052,534.6027,510.3303
1,724.8117,427.5161,128,42.72,36.0694,805.015,538.5332,500.5637
1,724.2493,442.7641,128,49.2544,43.1045,829.545,545.1797,527.2457
1,717.7311,439.1104,128,46.1736,45.2548,862.0748,529.2948,540.7587
1,707.7747,433.6646,128,36.3456,47.7074,846.416,526.4001,532.3692
1,743.3472,440.8379,128,31.241,38.0132,801.3719,550.4335,503.1143
1,716.7064,428.4308,128,38.4187,37.3363,838.4748,533.0009,516.0823
1,728.611,436,128,32.7567,41.5933,818.184,540.9806,510.7103
1,1618.6537,903.662,128,6.0828,11.4018,57.6975,20.8087,37.3363
1,734.442,437.9783,128,40.4969,43.1741,794.9692,545.8067,500.7764
1,726.4186,441.1179,128,47.634,38.0526,836.9451,545.7481,530.6487
1,734.7612,422.5648,128,35.5106,52.3927,807.6943,535.3363,506.6014
1,707.2461,433.0935,128,46.3249,32.45,845.4307,531.3474,535.5493
1,746.2292,441.0284,128,50.9902,34.7851,813.1728,544.8018,504.5711
1,735.6392,441.3457,128,49.0408,48.7032,804.3196,543.3231,505.2841
1,719.1565,433.1155,128,34.0588,49.0306,818.1033,539.0148,509.2838
1,713.2216,428.6211,128,37.6962,49.679,840.8002,527.9868,534.3117
1,738.8911,428.6164,128,30.2655,41.4005,805.5588,549.1021,492.062
1,521.472,492.8976,128,38.2884,55.9464,1085.1179,693.6801,669.0209
1,397.3109,170.5579,128,143.9514,42.2019,422.0569,216.601,343.0015
1,480.0104,532.8884,128,35.8469,56.3027,1142.7905,626.5693,593.6548
1,533.4566,488.0349,128,42.0476,50.3289,1060.5376,688.3204,650.2492
1,532.5233,500.6815,128,48.6621,54.626,1070.5597,698.4512,653.9373
1,502.0329,482.5526,128,36.4006,45.4533,1083.8621,677.9852,666.6701
1,496.4967,474.7126,128,31.8277,50.8035,1081.129,680.895,666.7361
1,501.1237,477.2641,128,35.1141,53.7587,1082.8486,684.8445,668.7076
1,519.3534,482.8302,128,39.9249,49.98,1062.4618,694.2622,651.3555
1,489.1237,489.3598,128,47.7074,55.6597,1089.151,675.7404,670.7264
1,501.2704,473.8439,128,33.1059,51.9711,1093.5433,683.8392,677.0185
1,511.4528,490.3244,128,33.0606,52.3259,1095.1028,681.4631,675.314
1,531.3981,501.9651,128,40.1622,51.0392,1070.576,699.3154,660.4309
1,529.0605,496.529,128,47.4236,50.9902,1062.0306,694.6769,657.6055
1,519.0472,497.2927,128,41.3401,53.3385,1081.8003,688.9999,666.946
1,504.7901,484.125,128,36.8782,56.0803,1090.4871,682.6888,667.2219
1,521.8784,494.4896,128,35.8469,46.2709,1073.6499,689.6376,659.7098
1,498.8437,479.3517,128,38.4708,56.648,1079.9745,679.4005,669.8754
1,518.8112,483.8884,128,44.0454,44.9444,1071.0916,696.6104,657.3013
1,490.511,480.9834,128,37.4433,51.3517,1085.7744,683.4106,670.7682
1,496.4726,478.8027,128,30.8058,53,1084.327,677.9749,668.5844
1,530.6119,487.7838,128,34.0588,49.0408,1081.6617,693.0585,650.0623
1,531.4169,496.1452,128,42.2966,50.9313,1067.2919,692.4868,652.4515
1,511.8564,478.6,128,34.9285,53,1067.3668,693.4299,657.1583
1,534.813,494.9192,128,39.0512,49.0918,1074.4865,694.1412,650.0345
1,490.6985,485.4771,128,41.0488,56.0803,1088.7759,683.3915,675.1392
1,509.9745,485.0938,128,33.4216,50.4876,1067.6914,685.0548,658.0129
1,501.5695,476.8071,128,36.2353,51.788,1086.0166,677.0894,675.4058
1,525.3008,482.3578,128,39.3573,47.634,1068.3866,696.3475,657.7614
1,532.1137,491.0367,128,34.2345,47.0425,1067.0791,701.189,654.1223
1,499.1192,486.5604,128,45.4863,43.8634,1057.0089,681.4822,660.3401
1,506.1748,482.912,128,46.6154,54.231,1091.0042,688.8954,666.3392
1,541.2024,480.0771,128,30.8058,49.1935,1072.4197,696.3943,648.8959
1,529.0605,500.4448,128,44.4185,48.1041,1069.2288,697.7571,651.2542
1,530.348,497.2907,128,49.5782,48.1664,1063.1298,696.7847,651.8712
1,1582.2051,1389.5221,128,1,17.1172,36.2353,9,24.5967
1,504.6237,478.4987,128,28.7924,53.7587,1073.9949,688.6697,655.6905
1,506.9605,476.8113,128,38.0526,47,1072.8,694.5646,659.2731
1,497.003,485.8076,128,35.0143,52.7731,1082.4731,683.0204,671.8966
1,500.049,478.8288,128,35.4683,43.9659,1067.5065,681.9539,660.521
1,768.095,542.8342,128,40,48.8467,891.8862,509.7892,521.8784
1,782.7803,544.8303,128,31.7805,50.01,867.0698,526.3735,503.0994
1,768.5707,544.7587,128,41.3038,51.2445,893.5172,512.7231,522.6108
1,771.7318,548.9672,128,28.2843,51.0882,871.7413,518.3214,508.3168
1,773.4003,550.408,128,37.4833,41.3038,859.3585,528.5698,501.3282
1,771.0318,550.6078,128,48.0104,44.7214,867.6093,531.8054,499.769
1,775.8537,550.0082,128,36.4006,49.0102,878.3644,514.1916,514.6358
1,784.5114,563.3978,128,48.1664,39.3954,853.7178,525.9325,499.6318
1,777.7667,552.6753,128,33.8378,42.9535,871.3036,517.349,502.8966
1,771.0875,543.7684,128,48.2701,51.0784,872.3233,515.5386,519.3506
1,781.8145,549.7536,128,44.1814,44.911,859.8866,524.7981,502.2599
1,794.5294,560.7896,128,54.4243,49.8197,861.8265,523.3212,506.7593
1,792.7805,552.4066,128,50.9902,41.2311,857.5762,528.2888,497.0161
1,785.1987,543.8603,128,44.3847,47.0106,840.4338,537.9303,490.6985
1,787.8002,558.4129,128,49.2443,49.93,850.8502,524.3892,498.2219
1,769.4758,546.0568,128,30.2655,55.4437,865.7974,519.339,501.4399
1,792.7736,551.8378,128,43.0116,42.1545,842.3456,529.4384,495.308
1,793.6801,557.3455,128,40.3113,46.3897,859.8755,525.4379,492.3027
1,766.079,540.0565,128,35.0571,44.4185,893.7477,506.9684,519.8788
1,764.108,553.0579,128,63.5689,45.607,866.5564,516.643,518.9239
1,777.8804,554.8342,128,45.2769,43.6578,859.5463,522.473,503.8383
1,755.9557,541.4056,128,43.382,45.618,892.809,507.6633,524.2443
1,779.8622,545.6492,128,43.4166,39,871.3949,519.8317,508.3513
1,781.1581,550.5143,128,43.6005,47.0106,866.6285,524.7037,505.0149
1,764.3854,538.5434,128,39.4462,47.0106,893.7007,506.2578,522.3428
1,765.4705,542.1116,128,38.6394,46.0435,883.2717,509.6597,523.9485
1,790.2056,560.2089,128,59.4054,49.0408,864.3425,519.7615,514.3821
1,771.2964,548.0082,1152,31.7805,41.7253,872.9169,523.3068,507.4032
1,767.4907,547.4386,128,50.2494,48.0833,903.8391,508.2067,531.8957
1,778.3021,556.0081,128,57.2189,43.8406,872.0206,520.0961,512.29
1,791.8649,565.2203,128,48.8365,45.6946,854.4846,525.73,498.3623
1,768.3567,542.2416,128,40.1622,41.2311,892.7094,505.0723,523.215
1,778.0643,552.9412,128,52.2398,36.7967,848.7338,520.3268,505.917
1,785.5731,548.3357,128,45.618,44.1022,846.0502,524.7857,494.4906
